WKT,id,
"POLYGON ((0.0171875 -13.022256097560946,90.049085365853927 -12.987042682925974,89.996265243902741 -19.994512195121175,6.980640243902021 -19.994512195121189,6.980640243902032 -107.992835365853637,54.95891768292681 -107.975228658536537,54.994131097560953 -98.995807926829173,77.988490853658675 -98.995807926829173,77.953277439024532 -101.002972560975522,57.001295731707309 -101.002972560975607,57.00129573170733 -113.006345280652383,0.06120426873397 -112.957926836109678,0.0171875 -13.022256097560946))",,
"POLYGON ((90.046884527439374 -12.9892435213405,181.009737042689551 -12.987592892525997,181.009737042689551 -12.987592892525997,181.000933689031058 -20.003865758380165,96.000152439025072 -19.999464081550894,95.996851181403144 -97.998277915396613,130.000354897106234 -97.998828125000244,130.000354897106263 -101.999952362805359,90.000116711128385 -101.999952362805331,90.046884527439374 -12.9892435213405))",,
"POLYGON ((262.998739698583563 -98.99959061785313,262.998739698583563 -98.99959061785313,262.999999968725604 -101.999999915103075,223.000449535712391 -101.999449705499401,222.999999266524924 -100.999999333368294,217.000000074628304 -100.999999736353871,217.00000007462819 -19.999994515988771,212.999976254600881 -19.999994515988782,213.003277512223946 -12.996926678119488,313.999993112591824 -13.000055995234,313.999958724490341 -102.999938571955866,307.00005459184041 -102.999801019554894,307.00000300969009 -101.999984199098364,273.999995628870522 -102.000001393148466,274.000000464696768 -98.000000140294148,307.999988014422684 -97.999991543268948,307.999997686075858 -18.999998220722894,222.999766598169685 -18.99972311592083,223.000041702971686 -93.999757099342673,229.000000004326466 -93.999999998882728,228.999977464421193 -97.999998305225958,261.999761515708201 -97.999482483719291,261.999830291909177 -99.000107430390656,262.998739698583563 -98.99959061785313))",,
"POLYGON ((141.000695503052469 -101.999402153203121,140.998563440777218 -99.999321467702202,142.999125559682682 -99.999321467702202,142.999675769286341 -97.999859768004058,174.99986631811521 -97.999859768004086,174.99986631811521 -93.99791021578767,180.981745129099863 -93.993508538958395,181.008155190075513 -12.998253203470085,190.995559915700369 -12.99385152664081,191.001062011736963 -20.000220619639208,186.982331066608936 -19.912187083053709,186.999937773926092 -100.999877631956821,181.000039598425559 -101.000015184357764,180.998732850616932 -101.992799637959209,141.000695503052469 -101.999402153203121))",,
"POLYGON ((399.000010750337196 -19.999928821035304,313.999985510354179 -19.999997597236156,313.999998405891574 -13.00000100557077,406.000134149296969 -13.000001005570702,405.999859044493235 -124.999980861696514,399.000092423163437 -125.000531071303513,398.999542213556083 -79.999987727070319,351.99513548032121 -80.00053793667746,351.999881038182309 -75.000095475091101,398.999954870761258 -75.031663751297557,399.000010750337196 -19.999928821035304))",,
"POLYGON ((314.003574768336762 -118.995612195782726,336.997934667615425 -118.997813034210964,336.995733829187145 -127.997041367686492,353.000230880063782 -128.000342625329012,352.998030041635502 -201.99803268214481,399.008758224483358 -202.002434359001086,399.013159901340032 -124.946679306007525,406.00082191131537 -124.981892720860941,406.033834487740478 -208.021727460509481,303.998563273100103 -207.999719076226199,304.000764111528269 -201.998032682146089,307.999687535820044 -201.999683310967356,307.997486697391651 -179.003122573254387,313.999723301078859 -178.999821315611825,313.999723301079086 -201.9985828917562,349.000207036566565 -201.99913310136327,348.999931931762831 -131.999678706807913,332.999836557735932 -131.999678706807913,332.999836557735932 -124.006233535079488,313.99986085348047 -124.00004367699978,313.998760434266103 -165.998093195391476,307.999274878612937 -165.999743824212715,307.99994544657136 -123.999923318643965,273.000011920618761 -124.00006087104569,273.000000099709098 -118.999999902433274,314.003574768336762 -118.995612195782726))",,
"POLYGON ((0.008001438085466 -111.842873333200743,6.997864286757802 -111.746036442350032,6.999996348985505 -201.000076040244267,90.00021600013082 -201.00007604024438,90.000216000130635 -119.001237874030664,157.995119246283821 -119.001237874030494,157.997320084712186 -124.003743621837756,96.999999815782687 -123.999995318889347,96.999999815782644 -200.999904099846475,175.99689436573297 -201.002104938274982,176.0012960425899 -156.99413972345306,182.995560568130315 -156.998541400309819,183.000512454594258 -208.000771140672811,-0.000028183524888 -207.999808273860396,0.008001438085466 -111.842873333200743))",,
"POLYGON ((261.999504678668757 -118.998796318872564,262.000020500174855 -123.999960930769177,228.001090188733059 -124.001439619088302,228.001090188733173 -202.001354360962068,304.002643637595384 -201.999703732140603,304.004294266416707 -207.99808886881786,182.997795794655303 -208.000289707246282,182.994494537012656 -201.001073295242008,221.999954004020623 -200.99997287602784,222.010270434153881 -124.035139957523683,175.000361602957923 -123.999926542668859,174.997060345315305 -119.012001349443111,261.999504678668757 -118.998796318872564))",,
"POLYGON ((55.001675190908159 -112.921387327372827,57.004610101284513 -112.923381837200438,57.000208424427662 -119.99907738459251,78.999995683584473 -119.999937087103547,78.997416576051151 -121.99984584463553,54.997273514051265 -122.015251713634512,55.001675190908159 -112.921387327372827))",,
